pmid	title	journal
32316079	Addressing the Experience of Children and Adolescents During the COVID-19 Pandemic.	J Clin Psychiatry
32316065	Prevention and Treatment of Venous Thromboembolism Associated with Coronavirus Disease 2019 Infection: A Consensus Statement before Guidelines.	Thromb Haemost
32316063	COVID-19-Related Severe Hypercoagulability in Patients Admitted to Intensive Care Unit for Acute Respiratory Failure.	Thromb Haemost
32316056	[Management of Patients with COVID-19 - Recommendations from a Palliative Care Perspective].	Pneumologie
32316029	What COVID-19 means for non-neurotypical children and their families.	Pediatr Res
32315980	COVID-19 in a MS patient treated with ocrelizumab: does immunosuppression have a protective role?	Mult Scler Relat Disord
32315968	COVID-19 outbreak: Challenges for Addiction services in India.	Asian J Psychiatr
32315967	"Acute stress, behavioural symptoms and mood states among school-age children with attention-deficit/hyperactive disorder during the COVID-19 outbreak."	Asian J Psychiatr
32315963	Epidemic of COVID-19 in China and associated Psychological Problems.	Asian J Psychiatr
32315948	Case report of chloroquine therapy and hypoglycaemia in type 1 diabetes: What should we have in mind during the COVID-19 pandemic?	Diabetes Metab Syndr
32315907	What do we know about the SARS-CoV-2 coronavirus in the environment?	Sci Total Environ
32315904	Association between short-term exposure to air pollution and COVID-19 infection: Evidence from China.	Sci Total Environ
32315888	The psychological impact of COVID-19 on medical students [Letter].	Psychiatry Res
32315887	The anatomy of panic buying related to the current COVID-19 pandemic.	Psychiatry Res
32315886	"Prevalence of self-reported depression and anxiety among pediatric medical staff members during the COVID-19 outbreak in Guiyang, China."	Psychiatry Res
32315885	Addressing collegiate mental health amid COVID-19 pandemic.	Psychiatry Res
32315884	COVID-19 paranoia in a patient suffering from schizophrenic psychosis - a case report.	Psychiatry Res
32315883	"Psychological preparedness for the COVID-19 pandemic, perspectives from India."	Psychiatry Res
32315881	Mental Health Services in Lombardy during COVID-19 outbreak.	Psychiatry Res
32315879	Stressors of nurses in psychiatric hospitals during the COVID-19 outbreak.	Psychiatry Res
32315874	Lessons learned from 9/11: Mental health perspectives on the COVID-19 pandemic.	Psychiatry Res
32315842	The international imperative to rapidly and inexpensively monitor community-wide Covid-19 infection status and trends.	Sci Total Environ
32315817	Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis.	J Clin Virol
32315809	Comparison of nasopharyngeal and oropharyngeal swabs for SARS-CoV-2 detection in 353 patients received tests with both specimens simultaneously.	Int J Infect Dis
32315808	The relative transmissibility of asymptomatic cases among close contacts.	Int J Infect Dis
32315805	[Breast cancer management during the COVID 19 pandemic: the CNGOF takes action].	Gynecol Obstet Fertil Senol
32315803	Preliminary therapeutic drug monitoring data of beta-lactams in critically ill patients with SARS-CoV-2 infection.	Anaesth Crit Care Pain Med
32315802	The role of physical and rehabilitation medicine in the COVID-19 pandemic: the clinician's view.	Ann Phys Rehabil Med
32315800	A model for a ventilator-weaning and early rehabilitation unit to deal with post-ICU impairments with severe COVID-19.	Ann Phys Rehabil Med
32315792	Acute At Home Management of Anaphylaxis During The Covid-19 Pandemic.	J Allergy Clin Immunol Pract
32315758	The immediate mental health impacts of the COVID-19 pandemic among people with or without quarantine managements.	Brain Behav Immun
32315757	Current data on the cardiovascular effects of the COVID-19.	Hellenic J Cardiol
32315756	Challenges of managing the asymptomatic carriers of SARS-CoV-2.	Travel Med Infect Dis
32315733	Elevated troponin in patients with Coronavirus Disease 2019 (COVID-19): possible mechanisms.	J Card Fail
