pmid	title	journal
32259899	"Urgent need for individual mobile phone and institutional reporting of at home, hospitalized, and intensive care unit cases of SARS-CoV-2 (COVID-19) infection."	Rev Cardiovasc Med
32259878	A case of exacerbation of psoriasis after oseltamivir and hydroxychloroquine in a patient with COVID-19: Will cases of psoriasis increase after COVID-19 pandemic?	Dermatol Ther
32259853	Nuclear medicine in SARS-CoV-2 pandemia: 18F-FDG-PET/CT to visualize COVID-19.	Nuklearmedizin
32259829	COVID-19 Outbreak: An Overview.	Chemotherapy
32259751	How should we implement radiotherapy for cancer patients in China during the endemic period of COVID-19?	Radiother Oncol
32259628	Clinician Wellness During the COVID-19 Pandemic: Extraordinary Times and Unusual Challenges for the Allergist/Immunologist.	J Allergy Clin Immunol Pract
32259611	COVID-19 Infection in italian people with diabetes: lessons learned for our future (an experience to be used).	Diabetes Res Clin Pract
32259607	The other side of novel coronavirus outbreak: fear of performing cardiopulmonary resuscitation.	Resuscitation
32259576	COVID-19 in the Eastern Mediterranean Region and Saudi Arabia: Prevention and Therapeutic Strategies.	Int J Antimicrob Agents
32259575	BARICITINIB - A JANUASE KINASE INHIBITOR - NOT AN IDEAL OPTION FOR MANAGEMENT OF COVID 19.	Int J Antimicrob Agents
32259560	Interleukin-6 as a potential biomarker of COVID-19 progression.	Med Mal Infect
32259547	COVID-19 contagion and contamination through hands of trauma patients: what risks and what precautions?	J Hosp Infect
32259546	Risk of nosocomial transmission of coronavirus disease 2019: an experience in a general ward setting in Hong Kong.	J Hosp Infect
32259536	Dermatology Residents and the Care of COVID-19 Patients.	J Am Acad Dermatol
32259480	SARS-CoV-2 Vaccines: Status Report.	Immunity
32259477	Infection and Rapid Transmission of SARS-CoV-2 in Ferrets.	Cell Host Microbe
32259419	Calculated decisions: COVID-19 calculators during extreme resource-limited situations.	Emerg Med Pract
32259403	"Novel coronavirus infection in children outside of Wuhan, China."	Pediatr Pulmonol
32259402	Biosafety in the preparation and processing of cytology specimens with potential coronavirus (COVID-19) infection: Perspectives from Taiwan.	Cancer Cytopathol
32259400	Going remote: Maintaining normalcy in our pathology laboratories during the COVID-19 pandemic.	Cancer Cytopathol
32259394	"COVID-19, chronicle of an expected pandemic."	EMBO Mol Med
32259387	International perspectives: Impact of the COVID-19 Pandemic on cytology.	Cancer Cytopathol
